ID,Source if not TB,module,ch,Topic,2019midterm,2019_101_mock,label,Question text,latex,advanced variation,Alternate,Original (if changed),Answer,Extended answer,solution hints,Exam/practice,Difficulty,Share correct 2024,Share correct 101,2016_May_exam,2016_practice,2016_resit,2017_midterm,101midterm_2017,2017_practicemidterm,2017_101_practice_midterm,final_2017,101_final_2017,2017_resit,2017_resit_101,2018_midterm,101midterm_2018,2018_final,2018_final_101,2018_resit_101,Comments_DR,2019 mock midterm
1.4,Self ,"beem101,bee2024",1,Economic models,,,,"Economists:
 a. Try to test both the assumptions and the predictions of microeconomic models using empirical data
b. Never try to test microeconomic models
c. Test the predictions of economic models, but never the assumptions
d. Test the assumptions of economic models using experiments only, and the predictions using economic theory  only",,,,,a,,,P,5,,,,1,,,,1,,,,,1,,,,,,,
1.1,,"beem101,bee2024",1,Economic models,,,,"Normative economic analysis
  a.  involves the study of what comprises a normal firm.
  b.  involves how resources are actually used in an economy.
  c.  involves judgments on how resources should be used in an economy.
  d.  is usually thought to be a waste of time.
",,,,,c,,,E,4,,,,,1,,,1,1,,,,,,,,,,,
1.3,Self ,"beem101,bee2024",1,Economic models,,,,"Microeconomic models
a. Focus on concepts like the money supply, aggregate GDP and central bank policy
b. Make assumptions that are completely accurate and fully describe the real world
c. Never make testable predictions
d. Are often written and analysed using formal mathematics
e. All of the above",,,,,d,,,E,5,95.0%,,1,,,,,,,,1,,,,,,,,,
,Self ,"beem101,bee2024",1,Economic models,,,,"
##Suppose, in the market for lace, the supply curve is $Q_s(p)=2p-200$ where $p>100$ and 0 otherwise. The demand curve is $Q_d(p)=300-p$ where $p<300$ and 0 otherwise. Which of the following are true statements (choose one or all that apply):

- At $p=0$ the excess demand is 300
- For any prices above 100 and below 300, a positive quantity will be exchanged
- If the government imposed a price of 500/3 (166 and 2/3) there would be a shortage
- If the government imposed a price of 500/3 (166 and 2/3) there would be a surplus
- There is no price for lace for which we can have a positive consumer surplus as well as  a positive producer surplus","\begin{minipage}{\linewidth}
  \question[6] \textcolor{gray}{\textit{Choose one or all that are correct.}} Suppose, in the market for lace, the supply curve is $Q_s(p)=2p-200$ for $p>100$, and $Q_s(p)=0$ for $p \leq 100$.
The demand curve is $Q_d(p)=300-p$ where $p<300$, and $Q_d(p)=0$ for $p \geq 300$.
Which of the following are true statements?
\begin{enumerate}[label=(\alph*)]
  \item There is no price for lace that yields a positive consumer surplus as well as  a positive producer surplus.
  \item At $p=0$ the excess demand is 300.
  \item For any prices above 100 and below 300, a positive quantity will be exchanged.
  \item If the government imposed a price of 500/3 (i.e., 166 + 2/3) there would be a shortage of lace.
  \item If the government imposed a price of 500/3 (i.e., 166 + 2/3) there would be a surplus of lace.
\end{enumerate}

\begin{solution}
Correct:  At $p=0$ the excess demand is 300.
Correct: For any prices above 100 and below 300, a positive quantity will be exchanged.
The other answers are incorrect -- if the government imposed this price it has 'guessed right' -- this is the equilibrium price, so no shortage nor surplus.
Many prices could yield a (welfare) surplus for both consumers and producers, including the equilibrium price.
\end{solution}
\end{minipage}

",,,,,,,,,,,,,,,,,,,,,,1,,,,,,
2.6c,reshuffle of 2.6b,"beem101,bee2024",2,Utility and choice,,,,"6. . Suppose an individual has u-shaped indifference curves between steak and wine, with a diminishing marginal rate of substitution everywhere. Assume her optimal consumption involves buying a positive amount of both goods.
At her current consumption plan, her MRS (of wine for steak) is 1:2. That is, at the current consumption choices she is willing to give up 1 ounce of steak to get an extra 2 ounces of wine. Suppose also that the price of a steak is £2 per ounce and wine is £1 per ounce. Then in order to increase (or maximise) utility she should
  a. continue with her current consumption plan 
b.  buy more steak and less wine
  c.  buy more wine and less steak
  d.  Not enough information to answer the question.
","\question{4}Suppose, in the market for lace, the supply curve is $Q_s(p)=2p-200$ where $p>100$ and 0 otherwise. The demand curve is $Q_d(p)=300-p$ where $p<300$ and 0 otherwise. Which of the following are true statements (choose one or all that apply):

\begin{enumerate}[label=(\alph*)]
\item At $p=0$ the excess demand is 300
\item For any prices above 100 and below 300, a positive quantity will be exchanged
\item If the government imposed a price of 500/3 (166 and 2/3) there would be a shortage
\item If the government imposed a price of 500/3 (166 and 2/3) there would be a surplus
\item There is no price for lace that yields a positive consumer surplus as well as  a positive producer surplus
\end{enumerate}
",,,,b,,,E,6,60.80%,76.19%,1,,1,1,1,,,,,,,,,,,,,
,,"beem101,bee2024",2,Utility and choice,,,vegansteakwine,"\question[4] Suppose an individual has indifference curves between steak and wine that illustrate a diminishing marginal rate of substitution everywhere.
Assume her optimal consumption involves buying a positive amount of both goods.
At her current consumption plan, her MRS (of wine for steak) is 1/4.
That is, at the current consumption choices she is willing to give up 1 ounce of vegan steak to get an extra 4 ounces of non-alcoholic wine.
Suppose also that the price of a vegan steak is \pounds 10 per ounce and non-alcoholic wine is \pounds 1 per ounce. Then in order to increase (or maximise) utility she should (please select \textit{only one} answer):
\begin{enumerate}[label=(\alph*)]
\item continue with her current consumption plan.
\item buy more vegan steak and less non-alcoholic wine.
\item buy more non-alcoholic wine and less vegan steak.
\item There is not enough information to answer the question.
\end{enumerate}
\begin{solution}
  Buy more non-alcoholic wine. At her current consumption point it yields a greater 'bang per buck'. Prices are such that she could give up 1 ounce of steak and get 10 ounces of wine. But she would be willing to give up 1 ounce of steak for only 4 ounces of wine  -- so this would make her better off.
\end{solution}","\question[4] Suppose an individual has indifference curves between steak and wine that illustrate a diminishing marginal rate of substitution everywhere.
Assume her optimal consumption involves buying a positive amount of both goods.
At her current consumption plan, her MRS (of wine for steak) is 1/4.
That is, at the current consumption choices she is willing to give up 1 ounce of vegan steak to get an extra 4 ounces of non-alcoholic wine.
Suppose also that the price of a vegan steak is \pounds 10 per ounce and non-alcoholic wine is \pounds 1 per ounce. Then in order to increase (or maximise) utility she should (please select \textit{only one} answer):
\begin{enumerate}[label=(\alph*)]
\item continue with her current consumption plan.
\item buy more vegan steak and less non-alcoholic wine.
\item buy more non-alcoholic wine and less vegan steak.
\item There is not enough information to answer the question.
\end{enumerate}
\begin{solution}
  Buy more non-alcoholic wine. At her current consumption point it yields a greater 'bang per buck'. Prices are such that she could give up 1 ounce of steak and get 10 ounces of wine. But she would be willing to give up 1 ounce of steak for only 4 ounces of wine  -- so this would make her better off.
\end{solution}",,,,,,,,,,,,,,,,,,,,,,1,,,,,,
2.3,,"beem101,bee2024",2,Utility and choice,,,,"If bundles of goods A and B lie on the same indifference curve, one can assume the individual
  a.  prefers bundle A to bundle B.
  b.  prefers bundle B to bundle A.
  c.  enjoys bundle A and bundle B equally.
  d.  bundle A contains the same goods as bundle B.","\question[2] If bundles of goods A and B lie on the same indifference curve, one can assume
\begin{enumerate}[label=(\alph*)]
\item the individual prefers bundle A to bundle B.
\item the individual prefers bundle B to bundle A.
\item the individual likes bundle A and bundle B equally.
\item bundle A contains the same goods as bundle B.
\item bundle A contains chicken.
\end{enumerate}
",,,,c,"  c: the individual likes bundle A and bundle B equally. This is the definition of the indifference curve.
",,E,3,,,,,1,1,1,,1,,,,,,,,,,,
indifcurveproperties,,"beem101,bee2024",2,Utility and choice,,,indifcurveproperties,"\question[2] Under standard assumptions, indifference curves: (Choose one or all that are correct.)
\begin{enumerate}[label=(\alph*)]
\item never intersect one another
\item represent the set of affordable consumption bundles
\item are always upwards sloping
\item are always flat
\item connect the sets of points that maximise utility
\end{enumerate}

\begin{solution}
never intersect once another ... as this would imply a point that yields the same utility on 2 distinct indifference curves, thus all points on each must yield the same utility, thus they would not be distinct indifference curves
\end{solution}","\question[2] Under standard assumptions, indifference curves: (Choose one or all that are correct.)
\begin{enumerate}[label=(\alph*)]
\item never intersect one another
\item represent the set of affordable consumption bundles
\item are always upwards sloping
\item are always flat
\item connect the sets of points that maximise utility
\end{enumerate}

\begin{solution}
never intersect once another ... as this would imply a point that yields the same utility on 2 distinct indifference curves, thus all points on each must yield the same utility, thus they would not be distinct indifference curves
\end{solution}",,,,,,,,5,,,,,,,,,,,,,,1,,,,,,
observeutil,,"beem101,bee2024",2,Utility and choice,,,,"True or false: Most economists believe we do not observe utility directly, but we can make inferences about preferences based on observed choices.
","\question[1] True or false: Most economists believe we do not observe utility directly, but we can make inferences about preferences based on observed choices.",,,,T,"True. We do not typically assume there is a biological measure of  utility,  and we allow that people make choices (subject to their constraints) for variety of reasons and motivations. The assumption of utility maximization essentially requires that people can make choices between any combinations and weigh the trade-offs of each of these in a unified framework.  The utility maximization framework also imposes some restriction on choices in the sense that when someone chooses a more expensive option over a cheaper one,it  must be that the more expensive option is preferred, i.e., it yields more additional utility. Thus we can make inferences about preferences based observing what people choose.\end{solution}
",,,,99.07%,97.60%,,,,1,,,,,,,,,,,,,,checked
,,"beem101,bee2024",2,Utility and choice,,,axioms_for_util1,"We can represent a person's preferences with a continuous utility function even if (choose all that apply)
\begin{enumerate}[label=(\alph*)]
\item their preferences violate transitivity
\item they prefer more of one good over less of that good
\item they are unemployed
\item they dislike chicken
\item they cannot state a preference nor make a choice between many categories of goods
\end{enumerate}","\question[4] We can represent a person's preferences with a continuous utility function even if (choose all that apply)
\begin{enumerate}[label=(\alph*)]
\item their preferences violate transitivity
\item they prefer more of one good over less of that good
\item they are unemployed
\item they dislike chicken
\item they cannot state a preference nor make a choice between many categories of goods
\end{enumerate}

\begin{solution}
b,c,d
\end{solution}",,,,"b,c,d","b,c,d. \
Transitivity and complete preferences (violated in a and e) are required axioms to have a utility representation. \
Monotonicity (b) is a common assumption for preferences and utility functions \
Unemployed people have preferences and utility functions just as do everyone else. Even someone with *no* income may have a utility function.
You can dislike any good, even chicken, and have a utility function ... that good will simply not enter into this function (or it may enter negatively if it's a 'bad').
",,,,44.44%,52.38%,,,,1,,,,,,,,,,,,,,
,,"beem101,bee2024",2,Utility and choice,,,axioms_for_util2,"question[4] We can represent a person's preferences with a continuous utility function even if (choose all that apply, i.e., all the answers that are consistent with representing their preferences as a continuous utility function)
\begin{enumerate}[label=(\alph*)]
\item their preferences follow transitivity
\item they prefer more of one good over less of that good
\item they have no income
\item they cannot state a preference nor make a choice between food and clothing
\item the only good they like is radishes, which they prefer over all other goods
\end{enumerate}
\begin{solution}
Choose all except for  ``they cannot state a preference nor make a choice between food and clothing''. This violates the 'complete preferences' axiom.
Preferences \textit{follow} transitivity \textit{is} one of the axioms.
Note that if they only like radishes, we could express their utility as, e.g.,   $U(r,x_1,x_2,...) = r$, where $r$ is the number of radishes they consume
\end{solution}","question[4] We can represent a person's preferences with a continuous utility function even if (choose all that apply, i.e., all the answers that are consistent with representing their preferences as a continuous utility function)
\begin{enumerate}[label=(\alph*)]
\item their preferences follow transitivity
\item they prefer more of one good over less of that good
\item they have no income
\item they cannot state a preference nor make a choice between food and clothing
\item the only good they like is radishes, which they prefer over all other goods
\end{enumerate}
\begin{solution}
Choose all except for  ``they cannot state a preference nor make a choice between food and clothing''. This violates the 'complete preferences' axiom.
Preferences \textit{follow} transitivity \textit{is} one of the axioms.
Note that if they only like radishes, we could express their utility as, e.g.,   $U(r,x_1,x_2,...) = r$, where $r$ is the number of radishes they consume
\end{solution}",,"\question[4]  \textcolor{gray}{Choose ONE.} Which of the following will make it impossible to represent a person's preferences with a continuous utility function?
\begin{enumerate}[label=(\alph*)]
\item Their preferences follow transitivity.
\item They prefer more of one good over less of that good.
\item They have no income.
\item They cannot state a preference nor make a choice between food and clothing.
\item The only good they like is radishes, which they prefer over all other goods.
\end{enumerate}
\begin{solution}
  \dotsthey cannot state a preference nor make a choice between food and clothing''. This violates the 'complete preferences' axiom.
Preferences \textit{follow} transitivity \textit{is} one of the axioms.
Note that if they only like radishes, we could express their utility as, e.g.,   $U(r,x_1,x_2,...) = r$, where $r$ is the number of radishes they consume
\end{solution}",,,,,,,,,,,,,,,,,,,,1,,,,,,
2.13b,modify 2.13,"beem101,bee2024",2,Utility and choice,,,,"If Joe has a constant MRS of shoes for boots of 4/3 (that is, he is always willing to give up 4 pairs of shoes to get 3 pairs of boots then, if shoes cost £2 per pair and boots cost £3 per pair, Joe will
  a.  spend his or her income equally on boots and shoes. b. buy only boots c. buy only shoes
  d.  buy an equal number of boots and shoes e. be indifferent between buying only shoes and buying only boots","\question[3] \textcolor{gray}{\textit{Choose ONE.}}
Joe has a constant MRS of shoes for boots of 4/3 (that is, he is always willing to give up 4 pairs of shoes to get 3 pairs of boots)
then, if shoes cost \pounds 2 per pair and boots cost \pounds 3 per pair, Joe will
\begin{enumerate}[label=(\alph*)]
  \item spend his or her income equally on boots and shoes.
  \item buy only boots
  \item buy only shoes
  \item buy an equal number of boots and shoes
  \item be indifferent between buying only shoes and buying only boots
\end{enumerate}

\begin{solution}
  buy only shoes
\end{solution}
",,,,c,,"c: buy only shoes. Note that if 4 pairs of shoes always yields the same utility as 3 pairs of boots then boots are yielding more utility per unit, and mu(shoes)/mu(boots) = 3/4. (allowing a monotomic transformation) mu(shoes)/p(shoes) = 3/2 > mu(boots)/p(boots) = 4/3 ",E,7,75%,,,,,1,1,,,,,,,,,,,,,
2.14, modification of 23,"beem101,bee2024",2,Utility and choice,,,,"If people like their goods in fixed proportions of 2 of one good for every one of the other good, the two goods are
  a.  perfect substitutes
  b.  perfect complements
  c.  complements (but not perfect)
  d.  substitutes (but not perfect)
  e. Giffen goods","\question[2] If people like their goods in fixed proportions of 2 of one good for every one of the other good, the two goods are
\begin{enumerate}[label=(\alph*)]
\item perfect substitutes
\item perfect complements
\item complements (but not perfect)
\item substitutes (but not perfect)
\item Giffen goods
\end{enumerate}

\begin{solution}
b: perfect complements
\end{solution}",,"\question[3] If people like their goods in fixed proportions of 3 of one good for every one of the other good, the two goods are
\begin{enumerate}[label=(\alph*)]
\item perfect substitutes.
\item perfect complements.
\item complements (but not perfect).
\item substitutes (but not perfect).
\item none of the above.
\end{enumerate}
","added of ""2:1"", added giffen option",b,,,E,5,54%,,,,,1,1,,,,,,,,,,,,,
,,"beem101,bee2024",2,Utility and choice,,,,"\question[2] If, for any level of consumption, a individual can hold her utility constant by reducing her consumption plankton by 1 and increasing her consumption of algae by 10, then, for this individual, algae and plankton are (select only one):
\begin{enumerate}[label=(\alph*)]
\item perfect substitutes
\item perfect complements
\item complements (but not perfect complements)
\item substitutes (but not perfect substitutes)
\item inferior goods
\end{enumerate}

\begin{solution}
b: perfect substitutes
\end{solution}","\question[2] If, for any level of consumption, a individual can hold her utility constant by reducing her consumption plankton by 1 and increasing her consumption of algae by 10, then, for this individual, algae and plankton are (select only one):
\begin{enumerate}[label=(\alph*)]
\item perfect substitutes
\item perfect complements
\item complements (but not perfect complements)
\item substitutes (but not perfect substitutes)
\item inferior goods
\end{enumerate}

\begin{solution}
b: perfect substitutes
\end{solution}",,,,,,,,4,,,,,,,,,,,,,,1,,,,,,
2.6,,"beem101,bee2024",2,Utility and choice,,,,"6. . Suppose an individual’s MRS (of steak for beer) is 2:1, and she is consuming some of both goods. That is, at the current consumption choices he or she is willing to give up 2 beers to get an extra steak. Suppose also that the price of a steak is £1 and a beer is 25p. Then in order to increase utility the individual should
  a.  buy more steak and less beer.
  b.  buy more beer and less steak.
  c.  continue with current consumption plans.
  d.  Not enough information to answer the question.
","
\question[3] Suppose an individual’s MRS (of steak for beer) is 2:1, and she is consuming some of both goods. That is, at the current consumption choices he or she is willing to give up 2 beers to get an extra steak. Suppose also that the price of a steak is £1 and a beer is 25p. Then in order to increase utility the individual should

\begin{enumerate}[label=(\alph*)]
  \item  buy more steak and less beer.
  \item  continue with current consumption plans.
  \item  buy more beer and less steak.
  \item  Not enough information to answer the question.
\end{enumerate}

\begin{solution}
c. buy more beer and less steak.
\end{solution}


",,,,b (more beer less steak); c in latex,,,E,6,61.0%,,1,,,,,1,,,,,,,,,,,,checked
2.6b,,"beem101,bee2024",2,Utility and choice,,,,"6. . Suppose an individual’s MRS (of steak for beer) is 1:2. That is, at the current consumption choices he or she is willing to give up 1 beer to get an extra 2 steaks, (or half a beer to get another steak). Suppose also that the price of a steak is £2 and a beer is 50p. Then in order to increase (or maximise) utility the individual should
  a.  buy more steak and less beer.
  b.  buy more beer and less steak.
  c.  continue with current consumption plans.
  d.  Not enough information to answer the question.
",,,,,b,"Let's skip the formulae and just reason. At her current level of consumption, steak is twice as valuable to her as beer (per unit), yet it costs *four times* as much per unit. At the margin, every pound she spends, she can buy one steak or four beers; the latter would yield twice as much utility.
This means she should buy more beer and less steak. The MU of beer will decline, and the MU of steak will increase ... and she should keep making this shift until the rate she is willing to trade off steak to obtain beer is '1 steak per 4 beers', reflecting the price ratio.
",,E,6,66.0%,,1,,1,,,1,,,,,,,,,,,,checked
2.12,modification of 14,"beem101,bee2024",2,Utility and choice,,,,"If the price of X rises, the budget constraint
  a.  shifts outward in a parallel fashion.
  b.  shifts inward in a parallel fashion.
  c.  rotates outwards, holding the Y-intercept constant
  d.  rotates inwards holding the Y-intercept constant",,,,,d,,,E,5,,,,,,,1,1,,,,,,,,,,,,
