ID,Type,Source if not TB,ch,Category1,cat2,101_2019,101_2019_mock,time_to_solve,"Question text, with answer",Advanced ver,older version,Difficulty,Comments_DR,Maths,BEE2024-2016_May_exam,BEE2024_2016_practice,2016_resit,beem101_2016-17_practice,Beem101_2016/17-midterm,final_2017,101_final_2017,2017_resit,2017_resit_101,2018_101_final,common_errors,Category2,2018_2024_final,Variation,2018-19_101_midterm,2019_final,2019_notes,alt-2024,2018_resit_101,2019_resit,2019-mock
define_justify_NE,"define, explain",,,Game theory,,,,,"\part (9 marks) Define the concept of a Nash Equilibrium. Why and when should we expect people's behaviour in a game to be consistent (or inconsistent) with a Nash equilibrium?

\begin{solution}

Nash equilibrium: Combination of strategies where each player is 'best responding' to the other player(s)


\begin{itemize}
  \item If a player is not best-responding he could be doing better
  \item NE expected to be 'stable'; neither would change play or regret choice
  \item But there may be multiple NE or no 'pure-strategy' NE; players may misjudge opponents or fail to coordinate (e.g., in Battle-of-the-Sexes), especially in one-shot games
  \item May have NE play more with repetition, learning, evolution
  \item (And bounded cognitive power: may be too hard/costly to compute one's best response)
\end{itemize}

\end{solution}",,,,,,,,1,,,checked,checked,,,,,,,,,,,,,,
donation_Before_After,"discussion, articles",,,Behavioural,,,,,"\part (9 marks) Consider: If you ask someone to commit to conditionally donate to charity from a potential bonus, will they be more or less generous than if you had waited for them to win the bonus and asked afterwards? Explain the prediction of \textit{two} models or theories.


\begin{solution}
  \begin{itemize}
    \item  EU over outcome theory predicts 'consistent behavior': commitments for a state-of-the-world should agree with decisions made if that state is reached
    \item Loss-aversion may predict commiting more from uncertain income: reference point may adjust to known or expected-value earnings, so donations reducing remaining income below this may be seen as a 'loss'.
    \item Signaling models predict he may commit more if asked  before $\rightarrow$  with a lower-probability of realisation he need sto commit a larger amount to seem equally benificent
    \item 'Affect' predicts you give more after, as you are in a better mood
  \end{itemize}
\end{solution}",,,,,,,1,1,,,,,,,,,,,,,,,,,,
transitive_preferences,"define, explain",,,Economic models,,,,,"\part (9 marks) What are 'transitive preferences'? Give an example of a person making choices that seem to reflect preferences that are \textit{not} transitive, and explain how you could 'pump money' from this person.

\begin{solution}

Transitivity (internal consistency): If I prefer A to B, and prefer B to C, then I must prefer A to C.

If 'Intransitive Eddy' is offered 1 apple and 1 banana and 1p, he chooses the apple. If he is offered 1 banana versus 1 cherry and 1p, he chooses the banana. If he is offered 1 cherry versus 1 apple and 1p, he chooses the cherry.

Pump money from him: Buy an apple, a banana, and a cherry. Get him to buy a banana from you. Get him pay you 1p to trade his banana for your apple. Then get him to pay 1p to trade his apple for your cherry. Then get him to pay 1p to trade his cherry for your banana. Then get him to pay 1p to trade his banana for your apple. Repeat ad nauseum.


\end{solution}",,,,,,,,1,,,,,,,,,,,,,,,,,,
betagainst_leave,discuss,,,Uncertainty,,,,,"\part (9 marks) Consider Betty, a UK resident working at a company that ships goods from Britain to France. In May 2016, an economist (Al) advises Betty that if the UK votes 'leave' in the June referendum, this may reduce trade with France. Al advises Betty to buy an asset (a 'bet on leave' with a bookmaker) that will pay off in the event that the UK votes for 'leave'. The bookmaker offers odds that are seen as fair, and he only takes a small commission. What would justify the economist's advice to buy this asset? What sort of preferences would Betty have to have to make this advice worth following?

\begin{solution}
  \begin{itemize}
    \item If Leave passes she may lose her job or suffer reduced income.
    \item If she 'bets on leave' this loss would be counterbalanced by an income gain from the asset.
    \item On the other hand if leave does not pass she keeps her job, but loses the bet.
    \item Thus both the gains and losses are reduced by making this bet; i.e., the variance is reduced.
    \item If she is \textit{risk-averse} she prefers to reduce the variance of her returns, holding the expected value the same. If she is substantially risk-averse, she is willing to sacrifice at least some amount of expected monetary value (i.e., the commission) to reduce the variance.
  \end{itemize}
\end{solution}
",,,,,,,,1,,,checked,checked,,,,,,,,,,,,,,
privatise_motorway,"quote, apply economic theory ",,,Public goods,Monopoly,,,,"\part (9 marks) Consider the following statement:
\begin{quote}
Taxes distorts the incentive to work, getting people to work less. To produce public goods like motorways, governments need to raise taxes, which are inefficient. Governments also have no way of knowing how much of these public goods to produce. Thus, for efficiency reasons, we should sell the motorways to a single company, who would have the right to charge whatever tolls it wanted, and the responsibility to maintain these roads.
\end{quote}

Find two things in the above statement that an economist would find incorrect, and explain why. Find one thing in the above statement that an economist might agree with, and explain why.


\begin{solution}
  \begin{itemize}
    \item Correct: (Income) taxes distort the incentive to provide labour
    \item Wrong: \dots but it may not get people to work \textit{less}, effects could go in either direction depending on the value of leisure, etc
    \item (Nearly) correct: Motorways may be seen as a public good, because they are largely nonrival and nonexcludable
    \item Wrong: Motorways are not really a pure public good, because 'rivalry' (there can be congestion, each car wears down the road) and 'excludability' (via toll roads.)
    \item Correct: It is hard for governments to know how much of a public good to provide
      \begin{itemize}
        \item Because of the difficulty of getting people to state their true values (see the voting paradox, Arrow's impossibility theorem).
      \end{itemize}
    \item Wrong: Selling the roads to a single company is likely to lead to inefficiency; it will tend to charge a price above the efficient level, which will lead to the 'deadweight loss of monopoly' (unless it can perfectly price discriminate). Also, toll roads themselves may impose additional  costs, especially if people must slow down to pay the tolls.
  \end{itemize}
\end{solution}

",,,,,,,,1,,,checked,checked,,,,,,,,,,,,,,
betagainstself,discuss,,,Uncertainty,,,,,"
\part (7 marks) Why might an economist advise people not to buy shares in the firms that they work for; what sort of preferences would justify this?

\begin{solution}
  \begin{itemize}
    \item If firm fails you lose job \textit{and} value of shares.
    \item Buy other shares: only one loss if your firm fails.
    \item Latter preferred given \textit{Risk-averse preferences} (diminishing MU of income) $\rightarrow$ prefer less fluctuation with same 'average' (expected value)
  \end{itemize}
\end{solution}
",,,,,,,1,,,,,,,,,,,,,,,,,,,
monop_dwl,"solve, draw, explain",text+,,Monopoly,,,,,"\question[25] Monopoly and deadweight loss

A monopolist can produce at constant average and marginal costs of $AC=MC=6$. The firm faces a market demand curve given by $Q=50-P$. The monopolist's marginal revenue curve is given by $MR=50-2Q$.

\medskip


\begin{parts}

\part (4 marks) Calculate the profit-maximising price-quantity combination for the monopolist. Also calculate the monopolist's profits and the consumer surplus.

\begin{solution}

For maximum profits, set $MR=MC$.
$MR=50-2Q=6$

Solves to $44=2Q \rightarrow Q=22, P=28$
$\pi=TR-TC=Q(P-MC)$ as MC are fixed, $\rightarrow$ $\pi=22(28-6)=484$

Consumer surplus is the triangle between the demand curve, the y axis, and the price:
$CS=\frac{1}{2}(50-28)\times22=242$
\end{solution}

\part (3 marks) What output would be produced by this industry under perfect competition in equilibrium, assuming every firm had the same production function as specified above, and the industry demand is as specified above?

\begin{solution}
Under perfect competition price will be driven down to marginal costs.
Thus $MC=P=6$ and $Q=50-6=44$
\end{solution}

\part (8 marks)  Calculate the consumer surplus obtained (by consumers) in part b. Show that this exceeds the sum of the monopolist's profits and consumer surplus received in part a. What is the value of the ``deadweight loss'' from monopolisation? Depict this in a diagram.

\medskip

\part (10 marks) In under 60 words and making reference to your diagram, explain why this deadweight loss would be avoided if the firm could perfectly price-discriminate. Would this be desirable from a public policy standpoint, i.e., considering a social welfare function?

\begin{solution}
  \includegraphics[height=3in]{ppd5.png}
  \includegraphics[height=3in]{ppd6.png}

  \begin{itemize}
    \item With perfect PD firm charges everyone her maximum value of each unit
    \item Can sell to 'low value' units/consumers without reducing price for high-value ones
    \item Firm captures entire potential surplus, shown above.
  \end{itemize}
\end{solution}

A policymaker might favour this price discrimination. A Pareto improvement could be achieved if the monopoly's gains could be redistributed to consumers. On the other hand, this redistribution might realistically be hard to achieve. A redistribution of wealth towards the monopoly might achieve worse distributional outcomes, i.e., greater inequality.  A utilitarian SWF embodies the diminishing marginal utility of each person's wealth, so the net result of this could be negative.
\end{parts}
","

\question[25] Monopoly and deadweight loss

A monopolist can produce at constant average and marginal costs of $AC=MC=6$. The firm faces a market demand curve given by $Q=50-P$. The monopolist's marginal revenue curve is given by $MR=50-2Q$.

\medskip


\begin{parts}

\part (4 marks) Calculate the profit-maximising price-quantity combination for the monopolist. Also calculate the monopolist's profits and the consumer surplus.

\begin{solution}

For maximum profits, set $MR=MC$.
$MR=50-2Q=6$

Solves to $44=2Q \rightarrow Q=22, P=28$
$\pi=TR-TC=Q(P-MC)$ as MC are fixed, $\rightarrow$ $\pi=22(28-6)=484$

Consumer surplus is the triangle between the demand curve, the y axis, and the price:
$CS=\frac{1}{2}(50-28)\times22=242$
\end{solution}

\part (3 marks) What output would be produced by this industry under perfect competition in equilibrium, assuming every firm had the same production function as specified above, and the industry demand is as specified above?

\begin{solution}
Under perfect competition price will be driven down to marginal costs.
Thus $MC=P=6$ and $Q=50-6=44$
\end{solution}

\part (8 marks)  Calculate the consumer surplus obtained (by consumers) in part b. Show that this exceeds the sum of the monopolist's profits and consumer surplus received in part a. What is the value of the ``deadweight loss'' from monopolisation? Depict this in a diagram.

\medskip

\part (10 marks) In under 60 words and making reference to your diagram, explain why this deadweight loss would be avoided if the firm could perfectly price-discriminate. Would this be desirable from a public policy standpoint, i.e., considering a social welfare function?

\begin{solution}
  \includegraphics[height=3in]{ppd5.png}
  \includegraphics[height=3in]{ppd6.png}

  \begin{itemize}
    \item With perfect PD firm charges everyone her maximum value of each unit
    \item Can sell to 'low value' units/consumers without reducing price for high-value ones
    \item Firm captures entire potential surplus, shown above.
  \end{itemize}
\end{solution}

A policymaker might favour this price discrimination. A Pareto improvement could be achieved if the monopoly's gains could be redistributed to consumers. On the other hand, this redistribution might realistically be hard to achieve. A redistribution of wealth towards the monopoly might achieve worse distributional outcomes, i.e., greater inequality.  A utilitarian SWF embodies the diminishing marginal utility of each person's wealth, so the net result of this could be negative.
\end{parts}

","Monopoly and deadweight loss
\includegraphics[width=6.5in]{11-1.png}

\medskip
\textit{Note, on an exam I might ask you to do part c via a graph if you prefer.}

\begin{solution}
Solutions: See back of text, also online video solution
\end{solution}


\medskip

d. In under 30 words and making reference to your diagram, explain why this deadweight loss would be avoided if the firm could perfectly price-discriminate.

\begin{solution}
  \includegraphics[height=3in]{ppd5.png}
  \includegraphics[height=3in]{ppd6.png}

  \begin{itemize}
    \item With perfect PD firm charges everyone her maximum value of each unit
    \item Can sell to 'low value' units/consumers without reducing price for high-value ones
    \item Firm captures entire potential surplus, shown above.
  \end{itemize}
",,,,,1,,,,,,checked,checked,,,Price discrimination,checked,,,,,,,,
substn_income_depict_apply,"solve, draw, explain",,,Demand curves,,,,,"\question[20] \underline{Sample question: Substitution and income effects of a price change}

\includegraphics[height=4.5in]{substincomefx0.png}

The above diagram depicts the impact of a fall in price of good X for some person.

a. What is the substitution effect of this price change on consumption of X? What is the income effect? Explain.

\begin{solution}
  \begin{itemize}
    \item Substitution effect: $X^*$ $\rightarrow$ $X_B$: lowest-cost way to obtain original utility with new price ratio
    \item Income effect: $X_B$ $\rightarrow$ $X^{**}$: greater effective-income at new price, higher utility
  \end{itemize}
\end{solution}

\

b. Is good X a 'normal good' or an inferior good? Explain how we know and what this means.

\begin{solution}
Normal good: consume more at higher (effective income) with same price ratio; income effect positive.
\end{solution}

\

c. Suppose that at the same time as the price change, this person's income were reduced so that, at the new prices he could exactly afford his original consumption and no more.  Depict this budget constraint graphically. Depict her consumption choice at this (third) budget constraint.  Would this combination of a price reduction and income reduction make her better or worse off? Explain.

\begin{solution}
\begin{itemize}
    \item [Graphically depict a budget line parallel to the new budget constraint going through point A, the original consumption point]
    \item [Depict an additional indifference curve that touches this new budget line at a single point 'D'; that point will be the choice after the price reduction and income reduction]
    \item [referring to diagram] This income reduction is not large enough to completely reverse the impact of the price reduction. Although she could choose the original point A, now that the price ratio has changed, she prefers D, which gives her higher utility. She can \textit{substitute} towards the good with the lower price.
    \item [You could also note that this budget line lies above the dashed budget line, implying it gives her more effective income than the level which leaves her only as well off as initially]
\end{itemize}
\end{solution}

\

d. Suppose the government is considering reducing the basic allowance to senior citizens while keeping them `just as well off' in response to a large a decrease in fuel costs.  What are the implications of the above analysis for this?

\begin{solution}
\begin{itemize}
  \item If the government merely reduced the allowance so that a senior could afford her original bundle, she would still be better off than before the fuel cost reduction.
  \item She could substitute towards consuming more fuel relative to her original consumption.
  \item So if the government wants her 'no better off' it might reduce the allowance \textit{even more}
  \item (But to know exactly how much, it would have to know her utility function, and how she trades off fuel and other goods)
  \item [Note: I am not saying this would be fair or legal; that's a different discussion]
\end{itemize}
\end{solution}",,,,,,,1,,,,,,,,,,,,,,,,,,,
PD_transactions_costs,"discuss theory, application",,,Price discrimination,,,,,"\part (7 marks) N\&S Review question 8 (first part, adjusted): Explain why 'transactions costs' must be present if a monopoly is to be able to practice price discrimination successfully. Describe some of these costs.

\begin{solution}
\begin{itemize}
  \item For PD to work, consumers with different valuations cannot 'arbitrage' costlessly (buy and sell to one another)
  \item Some services cannot be traded (e.g., haircuts)
  \item Small products: costs to find a 'partner' (buyer or seller); lack of trust; asymmetric information
\end{itemize}
\end{solution}
",,,,,,,1,,,,,,,,,,,,,,,,,,,
PD_Income_policy,"discuss theory, policy",,,Price discrimination,,,,,"\part (7 marks)  Why might a policymaker want to encourage firms to price-discriminate by income? What would the costs and benefits be?

\begin{solution}
\begin{itemize}
  \item 'Third-degree' (group based) PD may help or harm total welfare
    \begin{itemize}
      \item May increase output, serve 'new' markets
      \item But limited goods may go to consumers who 'value them less'
    \end{itemize}
  \item Less-wealthy consumers likely to get lower prices, higher purchasing power $\rightarrow$ reduce consumption inequality
  \item But reducing inequality could be done through taxes/transfers; not clear which method is more efficient/effective.
\end{itemize}
\end{solution}

",,,,,,,1,,,,checked,checked,,,,,,,,,,,,,,
fairness_ultimatum,discuss theory,,,behavioural,game theory,,,,"\part (7 marks) If players have 'fairness preferences' what outcomes might we expect in an \textit{ultimatum game}, where one player makes a 'take it or leave it offer' to split \pounds10 and the second player must accept or reject the first player's offer? Explain.

\begin{solution}
  \begin{itemize}
    \item Pure selfish monetary preferences: first player offers minimum amount (1p), second accepts (any) offer because better than zero
    \item Second (or both) player(s) may find the above 'unfair': real/total/psychological payoffs decrease with difference between payoffs
      \begin{itemize}
        \item Second player's net payoffs (material+fairness) may be negative for offers below some amount
        \item $\rightarrow$ First player will offer at least that amount (e.g., \pounds 5), second player accepts.
      \end{itemize}
    \item (Also, first player's \textit{own} fairness concerns may motivate a substantially-positive offer)
    \item In experiments proposed even splits (50/50) are common.
  \end{itemize}
\end{solution}",,,,,,,1,,,,,,,,,,,,,,,,,,,
experiment_max,"discuss evidence, explain",,,behavioural,experiments,,,,"\part (7 marks) In experiments, do participants always make choices to maximize their own material payoffs? Explain.
\begin{solution}
  \begin{itemize}
    \item  No: experimental evidence of fairness concerns, altruism, spite, etc.
    \item E.g., in ultimatum games, substantial positive offers are often rejected.
    \item Positive contributions in public-goods games (where dominant material strategy is to contribute nothing)
    \item Positive contributions in dictator games and charitable-giving experiments
  \end{itemize}
\end{solution}
",,,,,,,1,,,,,,,,,,,,,,,,,,,
option_variability,discuss theory,,,Uncertainty,,,,,"\part (7 marks) Why does the value of an option tend to be higher the greater the variability of the value of the underlying transaction?
",/rick,,,,,,1,,,,,,,,,,,,,,,,,,,
IRS_DRS_discuss,"discuss theory, application",,,Production,,,,,"\part (7 marks) Give one reason why production may exhibit 'increasing returns to scale' and one reason why it may have 'decreasing returns to scale'.
",,,,,,,1,,,1,,,,,,,,,,,,,,,,
NHS_PG,"discuss theory, application",,,Public goods,,,,,"\part (7 marks) Does the NHS provide a 'public good', according to the economic definition? Why or why not?
",,,,,,,,,,,checked,,,,,,,,,,,,,,,
PG_government,"discuss theory, application",,,Public goods,,,checked,,"\part (7 marks) Why is it difficult for \textit{governments} to provide the most efficient levels of public goods?
",,,,,,,,,,,,,,,,,,,,,,,,,,
case_for_insurance_fairness,"solve, draw, explain",,,Uncertainty,behavioural,,,,"\question[25] \underline{Uncertainty, risk aversion, insurance, game theory}
Risk-averse Rick has a utility function $U =  \sqrt(W)$ where W is his wealth expressed in monetary units. (Note that this function is increasing at a diminishing rate; its slope is always positive but it is less steeply sloping at larger values). Roger's only wealth is a house worth \pounds100,000. In any given year, there is a 10\% chance that the house will burn down. If it does, its value will be \pounds0.

\begin{parts}
\part (4 marks) What is the expected monetary value of Roger's wealth at the end of the year? (5 marks)

\begin{solution}
\pounds90,000

  $0.1 \times 0 + 0.9 \times 100,000 = 80,000$
\end{solution}

\part (6 marks) Show using a diagram that Roger would be better off if he could obtain \textit{fair insurance} fully insuring him against a potential loss. (5 marks)
\begin{solution}
Diagram as below (adjust for a 10\% chance of a loss).

\includegraphics[height=3in]{exb1b.png}

Fair insurance costs \pounds10,000, the expected value of the loss. It allows Roger to have \pounds90,000 for certain, yielding utility $U_2$, which exceeds his EU from a .1 probability of 0 income and a .9 probability of \pounds100,000 income, which is $U_1$.
\end{solution}

\part  (7 marks) What is the maximal amount that Roger would be willing to pay to insure his house against being destroyed by fire? Show using a diagram that paying this maximum amount leaves him with the same expected utility as no insurance.

\begin{solution}

With no insurance his utility is
$0.1 \times \sqrt(0) + 0.9 \times \sqrt(100,000) $

The certain income that yields this utility satisfies
$sqrt{y}=0.9*sqrt(100000) \rightarrow sqrt(y) = 81000$
Thus he would be willing to pay up to \pounds19,000 for this insurance.

Diagram as below (note curvature below is not quite right, adjust for the 81,000 point).

\includegraphics[height=3in]{exb1c.png}
\end{solution}

\part (8 marks) Consider the `game' described below.

i. in the first period a risk-neutral insurance agent makes a `take it or leave it offer' of an insurance rate to Roger and

ii. in the second period Roger can either accept or reject this offer.

What is the subgame-perfect equilibrium of this sequential game? How might the results change if Roger had fairness preferences, and this was common knowledge?

\begin{solution}
  BWI: Period 2 - Roger would accept any offer at or above \pounds19000. Period 1 - The agent would thus offer \pounds19000. (18999 should also be an acceptable answer).

With fairness preferences Roger might refuse an offer he thought was unfairly high (or unfairly low). Similar behaviour has been seen in lab ultimatum games. Anticipating this, the agent might offer a price somewhat below 19000.
\end{solution}

\end{parts}
","\question[25] \underline{Uncertainty, risk aversion, insurance, game theory, fairness}
Rick has a utility function $U =  \sqrt{W}$ where W is his wealth expressed in monetary units. Rick's only wealth is a house worth \pounds100,000. In any given year, there is a 10\% chance that the house will burn down. If it does, its value will be \pounds0.

\begin{parts}
\part (2 marks) What is the expected monetary value of Rick's wealth at the end of the year? (5 marks)

\begin{solution}
\pounds90,000

  $0.1 \times 0 + 0.9 \times 100,000 = 80,000$
\end{solution}

\part (7 marks) Would Rick be better off if he could obtain \textit{fair insurance} fully insuring him against a potential loss? Show why or why not using a diagram.

\begin{solution}
Diagram as below (adjust for a 10\% chance of a loss).

\includegraphics[height=3in]{exb1b.png}

Fair insurance costs \pounds10,000, the expected value of the loss. It allows Rick to have \pounds90,000 for certain, yielding utility $U_2$, which exceeds his EU from a .1 probability of 0 income and a .9 probability of \pounds100,000 income, which is $U_1$.
\end{solution}

\part  (8 marks) What is the maximal amount that Rick would be willing to pay to insure his house against being destroyed by fire? Does paying this amount leave him with more, less, or the same expected utility as no insurance? Show this using a diagram.

\begin{solution}

With no insurance his utility is
$0.1 \times \sqrt(0) + 0.9 \times \sqrt(100,000) $

The certain income that yields this utility satisfies
$\sqrt{y}=0.9*\sqrt(100000) \rightarrow \sqrt(y) = 81000$
Thus he would be willing to pay up to \pounds19,000 for this insurance.

Diagram as below (note curvature below is not quite right, adjust for the 81,000 point).

\includegraphics[height=3in]{exb1c.png}
\end{solution}

\part (9 marks) Consider the `game' described below.

i. in the first period a risk-neutral insurance agent makes a `take it or leave it offer' of an insurance rate to Rick and

ii. in the second period Rick can either accept or reject this offer.

What is the subgame-perfect equilibrium of this sequential game? How might the results change if Rick had fairness preferences? For the results to change, is it necessary that Rick's fairness preferences be common knowledge?

\begin{solution}
  BWI: Period 2 - Rick would accept any offer at or above \pounds19000. Period 1 - The agent would thus offer \pounds19000. (18999 should also be an acceptable answer).

With fairness preferences Rick might refuse an offer he thought was unfairly high (or unfairly low). Similar behaviour has been seen in lab ultimatum games. If the agent knew this (which would be implied by common knowledge), the  agent might offer a price somewhat below 19000. Actually, common knowledge is more than needed -- we only need one level of this knowledge, the agent must know Rick's preferences, but Rick doesn't need to know the agent knows this.
\end{solution}

\end{parts}


","\question[20] \underline{Uncertainty, risk aversion, insurance, game theory}
Risk-averse Roger has a utility function $U =  \sqrt(W)$ where W is his wealth expressed in monetary units. (Note that this function is increasing at a diminishing rate; its slope is always positive but it is less steeply sloping at larger values). Roger's only wealth is a house worth \pounds100,000. In any given year, there is a 20\% chance that the house will burn down. If it does, its value will be \pounds0.

\begin{parts}
\part What is the expected monetary value of Roger's wealth at the end of the year? (5 marks)

\begin{solution}
\pounds80,000

  $0.2 \times 0 + 0.8 \times 100,000 = 80,000$
\end{solution}
\part Show using a diagram that Roger would be better off if he could obtain \textit{fair insurance} fully insuring him against a potential loss. (5 marks)
\begin{solution}
Diagram as below.

\includegraphics[height=3in]{exb1b.png}

Fair insurance costs \pounds20,000, the expected value of the loss. It allows Roger to have \pounds80,000 for certain, yielding utility $U_2$, which exceeds his EU from a .2 probability of 0 income and a .8 probability of \pounds100,000 income, which is $U_1$.
\end{solution}

\part What is the maximal amount that Roger would be willing to pay to insure his house against being destroyed by fire? Show using a diagram that paying this maximum amount leaves him with the same expected utility as no insurance. (6 marks)

\begin{solution}

With no insurance his utility is
$0.2 \times \sqrt(0) + 0.8 \times \sqrt(100,000) = 8000$

The certain income that yields this utility satisfies
$sqrt{y}=8000 \rightarrow y = 64000$
Thus he would be willing to pay up to \pounds36,000 for this insurance.

Diagram as below (note curvature below is not quite right, so the 64000 is too much to the left).

\includegraphics[height=3in]{exb1c.png}
\end{solution}
\part Consider the `game' described below.

i. in the first period a risk-neutral insurance agent makes a `take it or leave it offer' of an insurance rate to Roger and

ii. in the second period Roger can either accept or reject this offer.

What is the subgame-perfect equilibrium of this sequential game? How might the results change if either party had fairness preferences? (5 marks)

\begin{solution}
  BWI: Period 2 - Roger would accept any offer at or above \pounds36000. Period 1 - The agent would thus offer \pounds36000. (35999 should also be an acceptable answer).

With fairness preferences Roger might refuse an offer he thought was unfairly high (or unfairly low). Similar behaviour has been seen in lab ultimatum games. Anticipating this, the agent might offer a price somewhat below 36000.
\end{solution}

\end{parts}
",,,,1,,,,,,,,,,,,,,,checked,shorten and simplify,"\question[40] \underline{Uncertainty, risk aversion, insurance}

Rick has a (realised, VnM) utility function function over outcomes $u =  \sqrt W$ where W is his wealth expressed in monetary units. (Note that this function is increasing at a diminishing rate; its slope is always positive but it is less steeply sloping at larger values.) Rick's only wealth is a portal-gun worth \pounds100,000. In any given year, there is a 10\% chance that the portal-gun will accidentally self-destruct. If it does, its value will be \pounds0.

\begin{parts}

\part (8 marks) What is the expected monetary value of Rick's wealth at the end of the year?

\begin{solution}
\pounds90,000

  $0.1 \times 0 + 0.9 \times 100,000 = 90,000$
\end{solution}

\part (16 marks) Show using a diagram that Rick would be better off if he could obtain \textit{fair insurance} fully insuring him against the potential destruction of his portal-gun.

\begin{solution}

Diagram as below (adjust for a 10\% rather than 20\% chance of a loss).

\includegraphics[height=3in]{exb1b.png}

Fair insurance costs \pounds10,000, the expected value of the loss. It allows Rick to have \pounds90,000 for certain, yielding utility $u_2$, which exceeds his EU from a .1 probability of 0 income and a .9 probability of \pounds100,000 income, which is $u_1$.
\end{solution}

\part  (16 marks) What is the maximum amount that Rick would be willing to pay to insure his portal-gun against accidental self-destruction? Show using a diagram that paying this maximum amount leaves him with the same expected utility as no insurance.

\begin{solution}
With no insurance his utility is
$0.1 \times \sqrt(0) + 0.9 \times \sqrt(100,000) $

The certain income that yields this utility satisfies
$\sqrt{y}=0.9*\sqrt(100000) \rightarrow y = 81,000$.
Thus he would be willing to pay up to \pounds19,000 for this insurance.

Diagram as below (note curvature below is not quite right, adjust for the 81,000 point).

\includegraphics[height=3in]{exb1c.png}

\end{solution}
\end{parts}",,,
nigel_substitution_compensation,"solve, draw, explain",,,Demand curves,CPI,,,,"\question[20] \underline{Income and substitution effects of a price change, implications for the CPI}
Nigel only gets utility from two goods: ale and Beemster cheese.  He gets diminishing marginal utility from each good, so his indifference curves are convex. Assume that in 2016 a unit of ale (A) and a unit of Beemster cheese (B) cost the same amount, \pounds1. Nigel's income is \pounds100,000.

\begin{parts}
\part (7 marks)
\begin{itemize}
  \item Draw a graph with ale consumption (A) on the vertical axis and Beemster cheese consumption (B) on the horizontal axis.
  \item Depict Nigel's budget constraint on this graph.
  \item Depict a set of Nigel's indifference curves; construct these indifference curves so that at 2016 prices, Nigel consumes 50,000 units of each good.
\end{itemize}

\begin{solution}
  \includegraphics[height=3.5in]{b2a.png}

See figure above. Figure should be properly labeled, and have the right shapes and properties (e.g., indifference curves should not intersect).
\end{solution}

\part (7 marks)
Now Nigel's country exits a major political-economic union. As a consequence, in 2017, the price Nigel faces for ale is unchanged, while Beemster cheese doubles in price. (His income in 2017 is the same, \pounds100,000).
\begin{itemize}
  \item Depict Nigel's old and new choices on a similar graph as above, illustrating his response to the price change.
  \item Decompose the income and substitution effects of this change on Nigel's Beemster cheese consumption.
  \item In your diagram, is Beemster cheese a normal or an inferior good? Explain in under 30 words.
\end{itemize}

\begin{solution}
\includegraphics[height=3.5in]{b2bi.png}

See figure above for first part of this. His new consumption is $q_A^{2017}$ for ale and $q_B^{2017}$ for Beemster. Note that the students' diagram could yield different results; ale (or Beemster) could be normal, inferior or even Giffen. \

\includegraphics[height=3.5in]{b2bii.png}

See figure above for second part of this. In the above diagram the substitution effect moves Beemster consumption from 50,000 to $q_B^{subst}$ (movement along the same indifference curve at the new price ratio; minimum cost basket that yields original utility with new prices.) The income effect moves Beemster consumption from $q_B^{subst}$ to $q_B^{2017}$.

As the income effect is in the opposite direction as the price change, Beemster is a normal good for Nigel. At lower levels of purchasing power (utility) Nigel purchases less of this good.

Note that the students' diagram could yield different results; ale (or Beemster) could be normal, inferior or even Giffen.
\end{solution}

\part (7 marks)
Claiming he has been harmed by the exit, Nigel demands compensation from the government. He asks for an income supplement that would allow him to purchase the same basket of goods that he purchased in 2016.

\begin{itemize}
\item How much would this compensation be?
\item Depict his choices and his new utility level if he were to receive this level of compensation, using a similar graph as above.
\item Would this make Nigel better off, worse off, or the same as he was originally (before the exit from the political-economic union and before the compensation)? Explain in under 30 words, making reference to the diagram.
\item In under 30 words, explain the implications of this for a consumer price index (CPI) that is based on a fixed basket of consumption.
\end{itemize}

%\item What level of compensation would make Nigel equally as well off as he was originally? Explain in under 30 words, referring to the above diagram.

\begin{solution}
To purchase 50,000 units of each good, as in 2017, Nigel now needs $50,000 \times \pounds1$ to buy the ale, and $50,000 \times \pounds2$ to buy the Beemster. Thus, he needs \pounds150000 in income, or a compensation of \pounds50,000.

\includegraphics[height=3.5in]{2Bc.png}

His budget constraint, choices, and new utility level are depicted in purple. Note the Y-intercept is 150,000 units of ale. His new utility is $U^{comp}$, which exceeds his original utility $U1$. (Although he could buy the original basket, at this level of compensation he now has baskets available to him that allow him to attain much more ale than originally, without sacrificing much cheese.) \

A CPI based on a fixed basket ignores substitution possibilities. Thus it may overestimate inflation and overcompensate for nonuniform changes in prices.
\end{solution}

",,,,,,1,,,,,checked,,,,,,,,,,,,,,,
